simulacion_id,pm_reassign,pm_cooperations,pm_take_chance,problems_count,cooperation_prob,completed_tasks,total_tasks,workers_number,resting_rate,collab_rate,pm_risky,workers_friendship,workers_motivation,workers_lazzyness,workers_psolv,time
65,0,3,58,51,0.015270037746124131,36,50,5,0.9508,0.0004,-0.0924700000000004,0.8959659883670748,124.31660000000001,0.3458070663888669,32.86512470981251,880
66,0,0,30,0,0.8633635724114739,50,50,5,0.6097560975609756,0.0,0.49512195121951197,0.8959659883670748,117.21463414634147,0.3458070663888669,32.88586612500001,400
67,0,0,15,2,0.3593547454933209,50,50,5,0.6190476190476191,0.0,0.10833333333333332,0.8959659883670748,116.69999999999999,0.3458070663888669,32.88586612500001,410
68,0,0,16,2,0.9075157889593058,50,50,5,0.594871794871795,0.0,0.04205128205128205,0.8959659883670748,116.42051282051281,0.3458070663888669,32.88586612500001,380
69,0,0,15,1,0.873713941508316,50,50,5,0.6925925925925925,0.0,0.025648148148148118,0.8959659883670748,118.54074074074073,0.3458070663888669,32.88586612500001,530
70,0,0,27,0,0.9698846181250816,50,50,5,0.6146341463414635,0.0,0.5258536585365852,0.8959659883670748,117.42926829268293,0.3458070663888669,32.88586612500001,400
71,0,0,72,18,0.2511693706082729,44,50,5,0.9683999999999999,0.0,-0.1480850000000004,0.8959659883670748,124.5788,0.3458070663888669,33.14026800000001,890
72,0,0,40,26,0.7671432928709006,46,50,5,0.9678,0.0,-0.19235,0.8959659883670748,124.5042,0.3458070663888669,34.55299317920626,760
73,0,10,39,56,0.012253450378824016,32,50,5,0.9306,0.0018,-0.157,0.8959659883670748,123.5452,0.3458070663888669,35.58596205150001,1980
74,0,17,22,22,0.012304872603730768,46,50,5,0.9668,0.0026,-0.21012999999999998,0.8959659883670748,124.632,0.3458070663888669,37.81096471311716,800
75,0,9,48,54,0.015225704323967554,35,50,5,0.9266,0.0008,-0.16838500000000042,0.8959659883670748,123.54180000000001,0.3458070663888669,40.0155954475863,1630
76,0,19,46,36,0.014904477934845688,42,50,5,0.9508,0.004,-0.23537500000000042,0.8959659883670748,124.2682,0.3458070663888669,40.85067045433316,1260
77,0,7,20,15,0.00879069663922765,46,50,5,0.9758,0.0008,-0.3328750000000001,0.8959659883670748,124.88719999999999,0.3458070663888669,41.36402766557085,400
78,0,5,23,29,0.01356818063268842,42,50,5,0.9534,0.0006000000000000001,-0.30617,0.8959659883670748,124.4052,0.3458070663888669,41.6523510434846,1320
79,0,6,23,41,0.009373871236858069,38,50,5,0.9528,0.0008,-0.28769,0.8959659883670748,124.3564,0.3458070663888669,44.003437291439184,1140
80,0,6,59,14,0.016059318918387997,49,50,5,0.9758,0.001,-0.2534000000000005,0.8959659883670748,124.884,0.3458070663888669,45.61237334928528,550
81,0,0,28,2,0.770903833678215,50,50,5,0.5750000000000001,0.0,0.2983749999999996,0.8959659883670748,115.875,0.3458070663888669,45.644554338282745,390
82,0,0,17,4,0.0397926259004167,50,50,5,0.5058823529411766,0.0,0.18558823529411766,0.8959659883670748,114.0,0.3458070663888669,45.83168558570018,330
83,0,0,19,0,0.8953827999629089,50,50,5,0.5897435897435898,0.0,0.09858974358974357,0.8959659883670748,116.14871794871796,0.3458070663888669,46.174759539298805,380
